Date,Close,High,Low,Open,Volume,RSI,MACD,MACD_Signal,OBV,EMA_200,SMA_20,SMA_50,BB_High,BB_Low
2026-01-05,3099.428955078125,3129.207895137578,3075.2394189664337,3122.94369701057,2341703,49.56558861790142,21.367618616825894,32.49797392515605,71044978,3151.9164040195287,3127.034716796875,3043.889541015625,3205.554560498394,3048.5148730953556
2026-01-06,3137.688720703125,3144.8201752673103,3088.7315556964636,3093.550169667909,2912325,55.280579270717375,20.76640516698353,30.15166017352155,73957303,3151.774835031306,3127.964709472656,3047.601806640625,3206.526663140108,3049.402755805204
2026-01-07,3176.044921875,3180.8635358265738,3106.271250685878,3125.2565425983025,1989442,60.15517353789226,23.11846873803188,28.745021886423615,75946745,3152.016328432736,3132.1713623046876,3051.6629345703127,3211.566429539667,3052.7762950697083
2026-01-08,3087.671630859375,3167.6606296336045,3066.566193971062,3167.6606296336045,4159336,47.348910487877184,17.648074033326793,26.525632315804252,71787409,3151.3760826857374,3132.8797119140627,3054.47701171875,3210.399115884615,3055.36030794351
2026-01-09,3091.43017578125,3112.5356118812538,3075.239584998998,3075.239584998998,1938673,47.85733451084485,13.460861548669527,23.912678162377308,73726082,3150.779606000121,3133.6458740234375,3057.3720361328124,3209.1832363808953,3058.1085116659797
2026-01-12,3122.076416015625,3134.026484388671,3059.145271347969,3086.804068110982,2228342,51.933080675001456,12.471596155755833,21.624461761053013,75954424,3150.494002119678,3134.5662353515627,3061.3098095703126,3209.0615707771985,3060.070899925927
2026-01-13,3149.4462890625,3161.0109633185434,3094.0322249189585,3127.2806634050835,5645341,55.29401361027588,13.737755921106327,20.047120593063678,81599765,3150.4835771141343,3136.3876831054686,3065.357451171875,3210.466671234078,3062.308694976859
2026-01-14,3076.68505859375,3141.7363480080267,3067.529691935444,3141.7363480080267,3539511,46.07134888115405,8.768891130969678,17.79147470064488,78060254,3149.7492634970163,3135.7805419921874,3068.7439697265627,3211.587637422713,3059.9734465616616
2026-01-15,3076.68505859375,3076.68505859375,3076.68505859375,3076.68505859375,0,46.07134888115405,4.775975513272897,15.188374863170484,78060254,3149.0222564830538,3134.5614379882813,3072.6431884765625,3213.2902257150513,3055.8326502615114
2026-01-16,3146.54931640625,3161.464149941515,3111.519017760894,3159.0110444402844,4293470,54.51894624514916,7.16641289740528,13.583982470017443,82353724,3148.9976501141305,3133.7998168945314,3077.5407177734373,3211.7514342372774,3055.8481995517855
2026-01-19,3104.258056640625,3159.600023336744,3092.973770842994,3128.2002715520307,3387562,49.467519729587195,5.583932429055494,11.983972461825054,78966162,3148.552480029817,3130.8658081054687,3081.9605615234377,3208.6266895558724,3053.104926655065
2026-01-20,3044.10791015625,3100.7255406282875,3033.118044759914,3092.4832014713097,4499273,43.31967950660241,-0.5178395369698592,9.483610062066072,74466889,3147.513230578339,3122.8571044921873,3084.5336376953123,3201.7088450610822,3044.0053639232924
2026-01-21,3064.027099609375,3079.6287553253787,3024.188569033875,3041.8509292683366,2015150,45.72525973949468,-3.703533633327879,6.846181322987282,76482039,3146.6825228075036,3116.5623291015627,3087.084912109375,3193.058981055296,3040.0656771478293
2026-01-22,3091.305419921875,3100.7254411371077,3063.7326570458863,3090.9130188550284,2269827,48.92230985571109,-3.9811939558780978,4.680706267214206,78751866,3146.131506858393,3111.197802734375,3088.5472802734375,3178.416137866974,3043.9794676017755
2026-01-23,3103.178466796875,3134.578217290946,3092.875423666008,3130.457047950816,2068857,50.29471857499704,-3.2062267204873933,3.1033196696738865,80820723,3145.7041134249453,3108.3061767578124,3090.75017578125,3171.563191172594,3045.0491623430307
