Price,Close,High,Low,Open,Volume,Daily_Return
Ticker,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,
Date,,,,,,
2015-07-23,225.45729064941406,230.32101611253134,224.57297169324767,227.2259141638479,18642915,-0.004855243837108891
2015-07-24,221.0896453857422,226.39553068662536,220.23767845085933,226.0396577930844,13099664,-0.019372384237791418
2015-07-27,216.84060668945312,222.13572230140866,216.06414235077094,221.05729081007794,20118553,-0.01921862368938909
2015-07-28,217.89747619628906,219.2886444161505,215.7082468185387,217.47688476320798,13382878,0.004873946457590872
2015-07-29,214.8239288330078,218.42590889815096,213.98276036088097,217.73570240042204,14790821,-0.01410547481748936
2015-07-30,215.71905517578125,217.41220512561705,214.0259196238463,215.7082711480218,11701228,0.004166790671951803
2015-07-31,216.08567810058594,217.3905883607982,213.52979210477474,215.6866547649923,16634259,0.0016995388956526636
2015-08-03,216.21510314941406,218.67393310756034,215.55726315463897,215.90236639024334,9887787,0.0005989524616614172
2015-08-04,213.0984344482422,216.90531089473407,211.37294705588226,216.42001531596114,12006872,-0.014414666948673438
2015-08-05,213.04452514648438,215.85924252602445,212.25726239502848,213.15236541438256,14345010,-0.0002529784036067184
2015-08-06,211.14646911621094,213.96118636612832,210.83373235370829,213.7454914423655,8708037,-0.008909198811696162
2015-08-07,212.31118774414062,214.39256241615172,210.7582303619759,211.15725373384046,8608888,0.005516164361188736
2015-08-10,208.9788360595703,213.27099399129602,208.02981288721188,212.34355327085018,9288894,-0.015695600971278867
2015-08-11,208.35333251953125,210.00333172185398,206.6278307359085,209.43176393534605,8762464,-0.0029931429987520852
2015-08-12,203.37094116210938,208.35330457739516,202.86407760077765,207.83565699130952,9650325,-0.023913182943473332
2015-08-13,201.3111572265625,205.75430550029404,200.45919038047677,204.2552826991285,9340350,-0.010128211649986896
2015-08-14,208.55821228027344,209.64742763487752,201.51604216612088,202.79938437464793,12739366,0.03599927174207673
2015-08-17,205.05331420898438,208.35332692288597,204.05037100351115,208.35332692288597,10857430,-0.01680537070666377
2015-08-18,203.62979125976562,206.19646156298475,203.2199982516922,206.19646156298475,6630334,-0.00694220893093167
2015-08-19,205.89450073242188,207.274884869613,202.62684003742564,203.6082152087451,8877298,0.011121700113944533
2015-08-20,197.63368225097656,207.04841013731846,197.08368254879417,207.04841013731846,19008087,-0.04012160816369237
